Tweet_Date,user_id,Followers,Tweet_text
2020-12-16 18:39:50,Jeddah_Doctors,12041,b'RT @farha1985: @Jeddah_Doctors \xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd8\xa7\xd9\x85 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x83\xd9\x85 \xd8\xa7\xd8\xb3\xd8\xa7\xd9\x84 \xd8\xb9\xd9\x86 \xd8\xaf\xd9\x83\xd8\xaa\xd9\x88\xd8\xb1 \xd9\x84\xd8\xa7\xd9\x84\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb9\xd8\xaf\xd9\x87 \xd8\xa7\xd9\x8a \xd8\xa7\xd9\x83\xd9\x84 \xd9\x85\xd8\xa7\xd9\x8a\xd8\xaa\xd9\x82\xd8\xa8\xd9\x84\xd9\x88\xd8\xa7 \xd8\xad\xd8\xaa\xd9\x89 \xd9\x84\xd9\x88 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x8a\xd8\xaa \xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd8\xaa\xd8\xb4\xd9\x81\xd9\x8a\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd9\x83\xd8\xa8\xd9\x8a\xd8\xb1\xd9\x87 \xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa7\xd8\xb1\xd9\x87\xd9\x85 \xd9\x85\xd8\xa8\xd8\xa7\xd9\x84\xd8\xba \xd9\x81\xd9\x8a\xe2\x80\xa6'
2020-12-16 18:39:43,Mr77114,51,b'RT @5a1di: Saudi Customs foiled an attempt to smuggle more than 8 million Captagon pills which was shipped from Turkey to Jeddah port. http\xe2\x80\xa6'
2020-12-16 18:39:21,apcd0,58,b'RT @AshjanNajdSA: \xd9\x8a\xd9\x82\xd9\x88\xd9\x84\xd9\x88\xd9\x86  #\xd8\xac\xd8\xaf\xd8\xa9 \xd8\xba\xd9\x8a\xd8\xb1 \xd9\x88 \xd8\xad\xd9\x86\xd8\xa7 \xd9\x83\xd9\x85\xd8\xa7\xd9\x86 \xd9\x86\xd9\x82\xd9\x88\xd9\x84 #\xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa7\xd8\xb1\xd9\x86\xd8\xa7 \xd8\xba\xd9\x8a\xd8\xb1..\n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xa7\xd8\xac\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86 #\xd9\x87\xd9\x8a\xd9\x88\xd9\x86\xd8\xaf\xd8\xa7\xd9\x8a #\xd8\xa7\xd9\x84\xd9\x86\xd8\xaa\xd8\xb1\xd8\xa72021 \xd9\x85\xd9\x86 #\xd8\xb4\xd8\xb1\xd9\x83\xd8\xa9_\xd8\xa7\xd8\xb4\xd8\xac\xd8\xa7\xd9\x86_\xd9\x86\xd8\xac\xd8\xaf_\xd9\x84\xd8\xaa\xd8\xa7\xd8\xac\xd9\x8a\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xb3\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xa8\xd8\xa7\xd9\x82\xd9\x84\xe2\x80\xa6'
2020-12-16 18:39:05,alaingresh,36700,b'Islam. A Little-Known Poem by Victor Hugo as an Antidote to #Islamophobia \n@OrientXXI @MiddleEastMnt @POMED\xe2\x80\xa6 https://t.co/upxQRo90Qr'
2020-12-16 18:38:33,mahdi_ibr,1439,"b""I'm at O\xc3\xaca Beach in Jeddah, Makkah https://t.co/lOF0yFoRyA"""
2020-12-16 18:38:33,Hanih33991858,54,b'RT @hKPjMjROIKYQJKf: @Jeddah_Radio \xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa7\xf0\x9f\x87\xad\xf0\x9f\x98\x8d'
2020-12-16 18:38:10,hKPjMjROIKYQJKf,49,b'@Jeddah_Radio \xf0\x9f\x87\xb8\xf0\x9f\x87\xa6\xf0\x9f\x87\xa7\xf0\x9f\x87\xad\xf0\x9f\x98\x8d'
2020-12-16 18:37:55,OmZzzam,1506,b'RT @AshjanNajdSA: \xd9\x8a\xd9\x82\xd9\x88\xd9\x84\xd9\x88\xd9\x86  #\xd8\xac\xd8\xaf\xd8\xa9 \xd8\xba\xd9\x8a\xd8\xb1 \xd9\x88 \xd8\xad\xd9\x86\xd8\xa7 \xd9\x83\xd9\x85\xd8\xa7\xd9\x86 \xd9\x86\xd9\x82\xd9\x88\xd9\x84 #\xd8\xa7\xd8\xb3\xd8\xb9\xd8\xa7\xd8\xb1\xd9\x86\xd8\xa7 \xd8\xba\xd9\x8a\xd8\xb1..\n\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xa7\xd8\xac\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86 #\xd9\x87\xd9\x8a\xd9\x88\xd9\x86\xd8\xaf\xd8\xa7\xd9\x8a #\xd8\xa7\xd9\x84\xd9\x86\xd8\xaa\xd8\xb1\xd8\xa72021 \xd9\x85\xd9\x86 #\xd8\xb4\xd8\xb1\xd9\x83\xd8\xa9_\xd8\xa7\xd8\xb4\xd8\xac\xd8\xa7\xd9\x86_\xd9\x86\xd8\xac\xd8\xaf_\xd9\x84\xd8\xaa\xd8\xa7\xd8\xac\xd9\x8a\xd8\xb1_\xd8\xa7\xd9\x84\xd8\xb3\xd9\x8a\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xa8\xd8\xa7\xd9\x82\xd9\x84\xe2\x80\xa6'
2020-12-16 18:37:05,n5SrXgy6IxAaF0C,27,b'RT @manalalgalt: @Jeddah_Radio \xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd8\xa7\xd9\x84\xd8\xad\xd9\x83\xd9\x88\xd9\x85\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa8\xd8\xad\xd8\xb1\xd9\x8a\xd9\x86\xd9\x8a\xd8\xa9 \xd9\x88\xd8\xb4\xd8\xb9\xd8\xa8\xd9\x87\xd8\xa7 \xd8\xa8\xd8\xae\xd9\x8a\xd8\xb1'
2020-12-16 18:36:59,n5SrXgy6IxAaF0C,27,b'RT @aljwharasaad: @Jeddah_Radio \xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd9\x85\xd9\x85\xd9\x84\xd9\x83\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa8\xd8\xad\xd8\xb1\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xae\xd9\x8a\xd8\xb1 \xd9\x82\xd9\x8a\xd8\xa7\xd8\xaf\xd8\xa9 \xd9\x88\xd8\xb4\xd8\xb9\xd8\xa8\xd9\x8b\xd8\xa7\xf0\x9f\x87\xa7\xf0\x9f\x87\xad\xe2\x99\xa5\xef\xb8\x8f\xf0\x9f\xa4\x8d'
